Date,close,volume
2010-01-04,7.095,11443200
2010-01-05,7.1225,8181600
2010-01-06,7.01375,11821600
2010-01-07,6.8,20374400
2010-01-08,6.8175,11551200
2010-01-11,6.85375,14999200
2010-01-12,7.20625,34623200
2010-01-13,7.32,14494400
2010-01-14,7.34375,10765600
2010-01-15,7.2425,14042400
2010-01-19,7.315,8059200
2010-01-20,7.1375,13092000
2010-01-21,6.98125,16345600
2010-01-22,6.76375,15756800
2010-01-25,6.8125,10936000
2010-01-26,6.7575,10453600
2010-01-27,6.80375,12956800
2010-01-28,6.5425,22576000
2010-01-29,6.48875,19384000
2010-02-01,6.6075,9820000
